r,region_name,y,peak_rate_PJ_yr,l,timeslice_name,peak_GW_equiv,y_int,prev_peak_GW,delta_GW,growth_ratio
R19,Philippines,2050,1029.837100229912,L36,Dry: Hr 12,32.65592022545383,2050,27.51612796353841,5.139792261915424,1.1867919886375786
R19,Philippines,2055,1302.381821031499,L12,Wet: Hr 12,41.29825662834535,2055,32.65592022545383,8.642336402891516,1.2646483805455648
R19,Philippines,2060,1346.4045354008324,L37,Dry: Hr 13,42.6942077435576,2060,41.29825662834535,1.3959511152122488,1.0338016959837992
R16,Singapore,2025,189.86464298826783,L10,Wet: Hr 10,6.0205683342297,2025,,,
R16,Singapore,2030,177.813090825738,L1,Wet: Hr 1,5.638416122074391,2030,6.0205683342297,-0.3821522121553089,0.9365255585618724
R16,Singapore,2035,184.9860761410971,L13,Wet: Hr 13,5.865869994327026,2035,5.638416122074391,0.22745387225263514,1.0403400294210556
R16,Singapore,2040,192.72564856430785,L11,Wet: Hr 11,6.111290225910319,2040,5.865869994327026,0.24542023158329318,1.0418386755623024
R16,Singapore,2045,219.39735242742032,L11,Wet: Hr 11,6.957044407262186,2045,6.111290225910319,0.8457541813518672,1.1383920825370204
R16,Singapore,2050,233.12929182815486,L14,Wet: Hr 14,7.392481349193139,2050,6.957044407262186,0.43543694193095295,1.062589357842307
R16,Singapore,2055,246.45156847553122,L11,Wet: Hr 11,7.814927970431609,2055,7.392481349193139,0.42244662123846943,1.0571454429553047
R16,Singapore,2060,248.90055852569037,L11,Wet: Hr 11,7.892584935492464,2060,7.814927970431609,0.0776569650608554,1.0099370033037638
R11,Thailand,2025,830.4407793154592,L15,Wet: Hr 15,26.333104366928563,2025,,,
R11,Thailand,2030,864.5804286334478,L15,Wet: Hr 15,27.415665545200653,2030,26.333104366928563,1.0825611782720905,1.041110275613067
R11,Thailand,2035,1043.4463234458326,L15,Wet: Hr 15,33.08746586269129,2035,27.415665545200653,5.671800317490636,1.206881730014522
R11,Thailand,2040,1341.1979014988392,L10,Wet: Hr 10,42.52910646558978,2040,33.08746586269129,9.441640602898488,1.285353996044305
R11,Thailand,2045,1791.1570651346478,L13,Wet: Hr 13,56.797217945669956,2045,42.52910646558978,14.26811148008018,1.3354905067574012
R11,Thailand,2050,2044.5756253725617,L13,Wet: Hr 13,64.83306777563932,2050,56.797217945669956,8.035849829969365,1.1414831592219208
R11,Thailand,2055,2266.3586322405185,L13,Wet: Hr 13,71.86576078895607,2055,64.83306777563932,7.032693013316745,1.1084738583966751
R11,Thailand,2060,2463.123500184632,L13,Wet: Hr 13,78.10513382117682,2060,71.86576078895607,6.239373032220755,1.0868198285765533
R20,Timor Leste,2025,2.4200319417385314,L19,Wet: Hr 19,0.07673870946659472,2025,,,
R20,Timor Leste,2030,2.415054113748573,L19,Wet: Hr 19,0.07658086357650218,2030,0.07673870946659472,-0.00015784589009254502,0.9979430734346496
R20,Timor Leste,2035,2.4605380747957315,L19,Wet: Hr 19,0.07802315051990523,2035,0.07658086357650218,0.001442286943403051,1.018833516312626
R20,Timor Leste,2040,2.6596447233389804,L19,Wet: Hr 19,0.08433678092779617,2040,0.07802315051990523,0.006313630407890944,1.0809199624191055
R20,Timor Leste,2045,2.975056850033417,L19,Wet: Hr 19,0.09433843385443356,2045,0.08433678092779617,0.010001652926637392,1.118591826918319
R20,Timor Leste,2050,3.3506718109358653,L19,Wet: Hr 19,0.10624910613064006,2050,0.09433843385443356,0.0119106722762065,1.1262547170815338
R20,Timor Leste,2055,3.8366276300078908,L19,Wet: Hr 19,0.12165866406671394,2055,0.10624910613064006,0.015409557936073875,1.1450323536569507
R20,Timor Leste,2060,4.430490686037537,L19,Wet: Hr 19,0.14048993804025675,2060,0.12165866406671394,0.01883127397354281,1.1547877754371552
R14,Vietnam,2025,1386.631343481901,L38,Dry: Hr 14,43.9697914599791,2025,,,
R14,Vietnam,2030,1445.6940540427502,L19,Wet: Hr 19,45.842657725860924,2030,43.9697914599791,1.8728662658818251,1.0425943859112112
R14,Vietnam,2035,1922.5961770522838,L17,Wet: Hr 17,60.965124843108946,2035,45.842657725860924,15.122467117248021,1.3298776263732432
R14,Vietnam,2040,1827.2935896870454,L16,Wet: Hr 16,57.943099622242684,2040,60.965124843108946,-3.0220252208662615,0.9504302627339268
R14,Vietnam,2045,2572.2414678478804,L9,Wet: Hr 9,81.56524187746956,2045,57.943099622242684,23.622142255226876,1.4076782638352163
R14,Vietnam,2050,3137.7928921736984,L22,Wet: Hr 22,99.49875989896303,2050,81.56524187746956,17.93351802149347,1.2198671592053132
R14,Vietnam,2055,3052.9520528796597,L36,Dry: Hr 12,96.80847453322107,2055,99.49875989896303,-2.690285365741957,0.972961619135014
R14,Vietnam,2060,3002.183757379695,L36,Dry: Hr 12,95.1986224435469,2060,96.80847453322107,-1.6098520896741775,0.9833707524321981
