fuel,year,l,season,hour,rate_PJ_yr,GW_continuous_equiv
central_bus,2050,L13,Wet,13,4770.066574759031,151.2578188343173
central_bus,2050,L14,Wet,14,4848.116408481176,153.73276282601395
central_bus,2050,L15,Wet,15,4881.590828846429,154.7942297325732
central_bus,2050,L16,Wet,16,5014.494188746815,159.00856762895785
central_bus,2050,L17,Wet,17,4936.680064502213,156.5410979357627
central_bus,2050,L18,Wet,18,5817.041279718418,184.4571689408428
central_bus,2050,L19,Wet,19,5645.296058303012,179.01116369555464
central_bus,2050,L20,Wet,20,5551.9618529025,176.05155545733447
central_bus,2050,L21,Wet,21,5337.483989010757,169.25050700820512
central_bus,2050,L22,Wet,22,5299.726253001216,168.05321705356468
central_bus,2050,L23,Wet,23,4712.980294609406,149.4476247656458
central_bus,2050,L24,Wet,24,4576.233077214332,145.11139894768937
td_output,2035,L25,Dry,1,1818.8597766901971,57.67566516648266
td_output,2035,L26,Dry,2,1771.5397902952207,56.17515824122338
td_output,2035,L27,Dry,3,1738.4081199775906,55.12455986737666
td_output,2035,L28,Dry,4,1748.0793321917977,55.43123199492002
td_output,2035,L29,Dry,5,1835.7626030509557,58.21165027432
td_output,2035,L30,Dry,6,1839.8139808746264,58.340118622356236
td_output,2035,L31,Dry,7,1794.5622119207344,56.905194441930945
td_output,2035,L32,Dry,8,1907.7476367681313,60.49428071943592
td_output,2035,L33,Dry,9,2002.12050217071,63.48682465026351
td_output,2035,L34,Dry,10,2044.876987807782,64.84262391577188
td_output,2035,L35,Dry,11,2072.8113625550614,65.72841712820463
td_output,2035,L36,Dry,12,2008.8108222287517,63.69897330760882
td_output,2035,L37,Dry,13,2053.096465540972,65.10326184490651
td_output,2035,L38,Dry,14,2098.302105755987,66.53672329261755
td_output,2035,L39,Dry,15,2076.7235109676353,65.85247054057697
td_output,2035,L40,Dry,16,2069.0776021629727,65.61002036285429
td_output,2035,L41,Dry,17,2086.8446125577907,66.17340856664734
td_output,2035,L42,Dry,18,2308.97838813495,73.21722438276731
td_output,2035,L43,Dry,19,2367.8651503034807,75.08451136172884
td_output,2035,L44,Dry,20,2332.2732234880145,73.95589876610903
td_output,2035,L45,Dry,21,2253.3677233245407,71.45382176955037
td_output,2035,L46,Dry,22,2106.3154192291904,66.79082379595353
td_output,2035,L47,Dry,23,1977.5991179500397,62.70925665747208
td_output,2035,L48,Dry,24,1886.1068598903414,59.80805618627414
td_output,2035,L1,Wet,1,1818.7511302015341,57.67222000892738
td_output,2035,L2,Wet,2,1773.186980949677,56.227390314233794
td_output,2035,L3,Wet,3,1747.0584547106323,55.39886018235135
td_output,2035,L4,Wet,4,1749.5023691584595,55.476356201118065
td_output,2035,L5,Wet,5,1805.1571041421014,57.2411562703609
td_output,2035,L6,Wet,6,1800.613592065367,57.097082447531925
td_output,2035,L7,Wet,7,1738.4446352657633,55.12571775956885
td_output,2035,L8,Wet,8,1842.586373016035,58.428030600457724
td_output,2035,L9,Wet,9,1930.706297936789,61.22229508931979
td_output,2035,L10,Wet,10,1974.9700902389839,62.62589073563495
td_output,2035,L11,Wet,11,2003.4327990381603,63.5284373109513
td_output,2035,L12,Wet,12,1944.5052822375906,61.65985801108544
td_output,2035,L13,Wet,13,1989.1476551585165,63.07545837006965
td_output,2035,L14,Wet,14,2040.6778151210585,64.70946902337197
td_output,2035,L15,Wet,15,2029.054549126767,64.34089767652102
td_output,2035,L16,Wet,16,2029.8790369500298,64.36704201388983
td_output,2035,L17,Wet,17,2043.7961108352927,64.8083495318142
td_output,2035,L18,Wet,18,2299.053023616474,72.9024931385234
td_output,2035,L19,Wet,19,2336.592459066388,74.09286082782813
td_output,2035,L20,Wet,20,2309.8963025120615,73.24633125672442
td_output,2035,L21,Wet,21,2248.024744662609,71.28439702760683
td_output,2035,L22,Wet,22,2106.45498684705,66.79524945608351
td_output,2035,L23,Wet,23,1981.006916842155,62.817317251463564
td_output,2035,L24,Wet,24,1883.626354578239,59.72939987881275
td_output,2050,L25,Dry,1,4292.761943518856,136.1225882648039
td_output,2050,L26,Dry,2,4181.080196873258,132.58118331028848
td_output,2050,L27,Dry,3,4102.884848728529,130.10162508652107
td_output,2050,L28,Dry,4,4125.710254113208,130.82541394321436
td_output,2050,L29,Dry,5,4332.654963678668,137.38758763567566
