from_region,to_region,within_region,from_node,to_node,fuel,year,annual_PJ,peak_GW,fuel_name_full
Thailand,Cambodia,False,Thailand,Cambodia,Electricity output from Centralized Electricity Generation,2035,-230.0000,-7.2933,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Thailand,Cambodia,False,Thailand,Cambodia,Electricity output from Centralized Electricity Generation,2040,-230.0000,-7.2933,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Thailand,Cambodia,False,Thailand,Cambodia,Electricity output from Centralized Electricity Generation,2045,-230.0000,-7.2933,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Thailand,Cambodia,False,Thailand,Cambodia,Electricity output from Centralized Electricity Generation,2050,-230.0000,-7.2933,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Thailand,Cambodia,False,Thailand,Cambodia,Electricity output from Centralized Electricity Generation,2055,-133.2373,7.2933,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Thailand,Cambodia,False,Thailand,Cambodia,Electricity output from Centralized Electricity Generation,2060,7.3529,7.2933,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Thailand,Laos,False,Thailand,Laos,Electricity output from Centralized Electricity Generation,2025,-675.1900,-8.0874,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Thailand,Laos,False,Thailand,Laos,Electricity output from Centralized Electricity Generation,2030,-700.0000,-22.1969,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Thailand,Laos,False,Thailand,Laos,Electricity output from Centralized Electricity Generation,2035,-700.0000,-22.1969,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Thailand,Laos,False,Thailand,Laos,Electricity output from Centralized Electricity Generation,2040,-700.0000,-22.1969,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Thailand,Laos,False,Thailand,Laos,Electricity output from Centralized Electricity Generation,2045,-700.0000,-22.1969,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Thailand,Laos,False,Thailand,Laos,Electricity output from Centralized Electricity Generation,2050,-700.0000,-22.1969,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Thailand,Laos,False,Thailand,Laos,Electricity output from Centralized Electricity Generation,2055,-700.0000,-22.1969,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Thailand,Laos,False,Thailand,Laos,Electricity output from Centralized Electricity Generation,2060,-700.0000,-22.1969,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Thailand,Myanmar,False,Thailand,Myanmar,Electricity output from Centralized Electricity Generation,2040,-93.4115,39.6372,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Thailand,Myanmar,False,Thailand,Myanmar,Electricity output from Centralized Electricity Generation,2045,-262.4366,39.6372,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Thailand,Myanmar,False,Thailand,Myanmar,Electricity output from Centralized Electricity Generation,2050,-348.9849,36.2444,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Thailand,Myanmar,False,Thailand,Myanmar,Electricity output from Centralized Electricity Generation,2055,-499.1723,39.6372,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Thailand,Myanmar,False,Thailand,Myanmar,Electricity output from Centralized Electricity Generation,2060,-520.2794,39.6372,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Vietnam,Cambodia,False,Vietnam,Cambodia,Electricity output from Centralized Electricity Generation,2025,250.0000,7.9274,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Vietnam,Cambodia,False,Vietnam,Cambodia,Electricity output from Centralized Electricity Generation,2030,250.0000,7.9274,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Vietnam,Cambodia,False,Vietnam,Cambodia,Electricity output from Centralized Electricity Generation,2035,250.0000,7.9274,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Vietnam,Cambodia,False,Vietnam,Cambodia,Electricity output from Centralized Electricity Generation,2040,250.0000,7.9274,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Vietnam,Cambodia,False,Vietnam,Cambodia,Electricity output from Centralized Electricity Generation,2045,250.0000,7.9274,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Vietnam,Cambodia,False,Vietnam,Cambodia,Electricity output from Centralized Electricity Generation,2050,250.0000,7.9274,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Vietnam,Cambodia,False,Vietnam,Cambodia,Electricity output from Centralized Electricity Generation,2055,250.0000,7.9274,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
Vietnam,Cambodia,False,Vietnam,Cambodia,Electricity output from Centralized Electricity Generation,2060,250.0000,7.9274,"Electricity output from ""Centralized Electricity Generation"" [LEAP ID:1]"
