r,t,region_name,tech_name,cat,renew,peak_GW,first_GW,last_GW,n_dips,biggest_dip_GW,biggest_pos_delta_GW,pulse_ratio,monotone_increasing
R17,P2668,Malaysia,Natural Gas,Other,False,53.591327617657434,18.192098783593075,35.39922883406436,1,-18.192098783593075,35.39922883406436,,False
R1,P2627,Indonesia,All Mines,Other,False,299.6939495526585,69.5668822362162,282.1672495221899,1,-17.526700030468646,68.97264078126756,1.832443316344174,False
R12,P2668,Myanmar,Natural Gas,Other,False,31.336464044175287,15.389270082889897,15.947193961285391,1,-15.389270082889896,15.94719396128539,,False
R14,P2668,Vietnam,Natural Gas,Other,False,43.60895530548386,14.928987131677872,28.67996817380599,1,-14.928987131677872,28.67996817380599,,False
R1,P2683,Indonesia,LPG,Other,False,23.377327051723555,13.600397280833326,9.776929770890227,1,-13.600397280833327,9.776929770890229,,False
R11,P2668,Thailand,Natural Gas,Other,False,22.841519913355384,11.879001013979872,10.96251889937551,1,-11.879001013979874,10.962518899375512,,False
R16,P2521,Singapore,Natural Gas,Other,False,11.016201626304584,11.016201626304584,2.4631893713805235,1,-8.55301225492406,0.0,,False
R16,P2605,Singapore,Natural Gas,Other,False,11.016201626304584,11.016201626304584,2.4631893713805235,1,-8.55301225492406,0.0,,False
R11,P2683,Thailand,LPG,Other,False,25.475607595821014,8.144468145640516,17.331139450180498,1,-8.144468145640516,17.331139450180498,,False
R19,P2627,Philippines,All Mines,Other,False,17.08915835332307,7.381079527349681,9.708078825973391,1,-7.38107952734968,9.708078825973391,,False
R16,P14937,Singapore,SMR,Other,False,7.110780432285759,7.110780432285759,0.0015393307991966427,1,-7.109773869530378,0.0003050680353003242,1.145218970400521,False
R17,P2683,Malaysia,LPG,Other,False,13.682213652467224,5.391907926246464,8.29030572622076,1,-5.391907926246464,8.29030572622076,,False
R19,P16068,Philippines,All Mines,Other,False,9.942331269520546,4.971165634760273,4.971165634760273,1,-4.971165634760273,4.971165634760273,,False
R14,P2683,Vietnam,LPG,Other,False,9.716516020773067,4.297526696697337,5.418989324075731,1,-4.297526696697336,5.4189893240757305,,False
