region,tech_name,year,capital_inv,fixed_OM,variable_OM,disc_capex,disc_opex,disc_salvage
Brunei,Naphtha Imports,2055,0.0000,0.0000,58.2359,0.0000,42.5314,0.0000
Brunei,Naphtha Imports,2060,0.0000,0.0000,58.2359,0.0000,30.3243,0.0000
Brunei,Natural Gas,2025,0.0000,0.0000,0.4746,0.0000,0.4588,0.0000
Brunei,Natural Gas,2030,0.0000,0.0000,0.3226,0.0000,1.5360,0.0000
Brunei,Natural Gas,2035,0.0000,0.0000,0.1822,0.0000,0.6843,0.0000
Brunei,Natural Gas,2040,0.0000,0.0000,0.0593,0.0000,0.2252,0.0000
Brunei,Natural Gas,2045,0.0000,0.0000,0.0000,0.0000,0.0364,0.0000
Brunei,Oil Imports,2025,0.0000,0.0000,0.8679,0.0000,0.8390,0.0000
Brunei,Oil Imports,2030,0.0000,0.0000,1.0065,0.0000,3.9894,0.0000
Brunei,Oil Imports,2035,0.0000,0.0000,1.0646,0.0000,3.0088,0.0000
Brunei,Oil Imports,2040,0.0000,0.0000,1.0892,0.0000,2.1948,0.0000
Brunei,Oil Imports,2045,0.0000,0.0000,1.0892,0.0000,1.5648,0.0000
Brunei,Oil Imports,2050,0.0000,0.0000,1.0892,0.0000,1.1157,0.0000
Brunei,Oil Imports,2055,0.0000,0.0000,1.0892,0.0000,0.7955,0.0000
Brunei,Oil Imports,2060,0.0000,0.0000,1.0892,0.0000,0.5672,0.0000
Brunei,Solar Domestic Production,2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Brunei,Solar Domestic Production,2030,0.0000,0.0000,0.0011,0.0000,0.0025,0.0000
Brunei,Solar Domestic Production,2035,0.0000,0.0000,0.0003,0.0000,0.0017,0.0000
Brunei,Solar Domestic Production,2040,0.0000,0.0000,0.0004,0.0000,0.0006,0.0000
Brunei,Solar Domestic Production,2045,0.0000,0.0000,0.0006,0.0000,0.0007,0.0000
Brunei,Solar Domestic Production,2050,0.0000,0.0000,0.0008,0.0000,0.0007,0.0000
Brunei,Solar Domestic Production,2055,0.0000,0.0000,0.0010,0.0000,0.0007,0.0000
Brunei,Solar Domestic Production,2060,0.0000,0.0000,0.0013,0.0000,0.0006,0.0000
Brunei,Solar PV,2025,0.0000,0.0561,0.0000,0.0000,0.0542,0.0000
Brunei,Solar PV,2030,0.0000,3.2616,0.0000,0.0000,7.4919,0.0000
Brunei,Solar PV,2035,0.0000,6.2298,0.0000,0.0000,13.8760,0.0000
Brunei,Solar PV,2040,0.0000,6.2559,0.0000,0.0000,12.3733,0.0000
Brunei,Solar PV,2045,0.0000,6.5259,0.0000,0.0000,9.2099,0.0000
Brunei,Solar PV,2050,0.0000,6.7959,0.0000,0.0000,6.8431,0.0000
Brunei,Solar PV,2055,0.0000,6.7959,0.0000,0.0000,4.9632,0.0000
Brunei,Solar PV,2060,0.0000,6.7959,0.0000,0.0000,3.5387,0.0000
Brunei,Solar PV Rooftop,2030,0.0000,0.8800,0.0000,0.0000,1.9987,0.0000
Brunei,Solar PV Rooftop,2035,0.0000,1.7100,0.0000,0.0000,3.8009,0.0000
Brunei,Solar PV Rooftop,2040,0.0000,2.4900,0.0000,0.0000,4.3032,0.0000
Brunei,Solar PV Rooftop,2045,0.0000,3.2200,0.0000,0.0000,4.1322,0.0000
Brunei,Solar PV Rooftop,2050,0.0000,3.9000,0.0000,0.0000,3.6537,0.0000
Brunei,Solar PV Rooftop,2055,0.0000,3.9000,0.0000,0.0000,2.8483,0.0000
Brunei,Solar PV Rooftop,2060,0.0000,3.9000,0.0000,0.0000,2.0308,0.0000
Cambodia,Biogas,2025,76.3363,2.2332,0.0166,76.3363,2.1749,0.0000
Cambodia,Biogas,2030,0.0000,2.1174,0.0150,0.0000,8.4537,0.0000
Cambodia,Biogas,2035,0.0000,2.0487,0.0113,0.0000,5.8256,0.0000
Cambodia,Biogas,2040,0.0000,1.9800,0.0111,0.0000,4.0118,0.0000
Cambodia,Biogas,2045,0.0000,1.9113,0.0108,0.0000,2.7613,0.0000
Cambodia,Biogas,2050,0.0000,1.8426,0.0103,0.0000,1.8979,0.0000
Cambodia,Biogas,2055,0.0000,0.0000,0.0000,0.0000,0.5778,0.0000
Cambodia,Biomass Domestic Production,2025,0.0000,0.0000,0.0119,0.0000,0.0115,0.0000
Cambodia,Biomass Domestic Production,2030,0.0000,0.0000,0.0212,0.0000,0.0684,0.0000
Cambodia,Biomass Domestic Production,2035,0.0000,0.0000,0.0109,0.0000,0.0433,0.0000
Cambodia,Biomass Domestic Production,2040,0.0000,0.0000,0.0094,0.0000,0.0202,0.0000
Cambodia,Biomass Domestic Production,2045,0.0000,0.0000,0.0076,0.0000,0.0120,0.0000
Cambodia,Biomass Domestic Production,2050,0.0000,0.0000,0.0099,0.0000,0.0091,0.0000
Cambodia,Biomass Domestic Production,2055,0.0000,0.0000,0.0058,0.0000,0.0055,0.0000
Cambodia,Biomass Domestic Production,2060,0.0000,0.0000,0.0102,0.0000,0.0043,0.0000
Cambodia,Biomass Imports,2025,0.0000,0.0000,0.7502,0.0000,0.7252,0.0000
Cambodia,Biomass Imports,2030,0.0000,0.0000,0.9864,0.0000,3.5101,0.0000
Cambodia,Biomass Imports,2035,0.0000,0.0000,0.9134,0.0000,2.6695,0.0000
Cambodia,Biomass Imports,2040,0.0000,0.0000,0.8261,0.0000,1.7397,0.0000
Cambodia,Biomass Imports,2045,0.0000,0.0000,0.7318,0.0000,1.1092,0.0000
Cambodia,Biomass Imports,2050,0.0000,0.0000,0.6260,0.0000,0.6875,0.0000
Cambodia,Biomass Imports,2055,0.0000,0.0000,0.6093,0.0000,0.4502,0.0000
Cambodia,Biomass Imports,2060,0.0000,0.0000,0.5858,0.0000,0.3103,0.0000
Cambodia,Biomass Other,2025,0.0000,2.2393,0.0161,0.0000,2.1804,0.0000
Cambodia,Biomass Other,2030,0.0000,19.6662,0.2948,0.0000,48.9949,0.0000
Cambodia,Biomass Other,2035,0.0000,19.6662,0.5022,0.0000,56.7486,0.0000
Cambodia,Biomass Other,2040,0.0000,19.6662,0.7646,0.0000,40.9423,0.0000
Cambodia,Biomass Other,2045,0.0000,19.6662,1.0819,0.0000,29.6134,0.0000
Cambodia,Biomass Other,2050,0.0000,19.6662,1.5650,0.0000,21.5363,0.0000
Cambodia,Biomass Other,2055,0.0000,19.6662,6.3459,0.0000,17.5064,0.0000
Cambodia,Biomass Other,2060,0.0000,19.6662,6.3193,0.0000,13.5369,0.0000
Cambodia,Bitumen Imports,2025,0.0000,0.0000,94.5174,0.0000,91.3734,0.0000
Cambodia,Bitumen Imports,2030,0.0000,0.0000,110.3918,0.0000,437.5720,0.0000
Cambodia,Bitumen Imports,2035,0.0000,0.0000,119.2557,0.0000,337.0335,0.0000
Cambodia,Bitumen Imports,2040,0.0000,0.0000,125.1486,0.0000,252.1745,0.0000
Cambodia,Bitumen Imports,2045,0.0000,0.0000,125.1486,0.0000,179.7969,0.0000
Cambodia,Bitumen Imports,2050,0.0000,0.0000,125.1486,0.0000,128.1927,0.0000
Cambodia,Bitumen Imports,2055,0.0000,0.0000,137.9903,0.0000,96.7735,0.0000
Cambodia,Bitumen Imports,2060,0.0000,0.0000,156.4000,0.0000,77.3463,0.0000
Cambodia,Charcoal Imports,2025,0.0000,0.0000,0.2762,0.0000,0.2670,0.0000
Cambodia,Charcoal Imports,2030,0.0000,0.0000,0.0000,0.0000,0.4674,0.0000
Cambodia,Coal Subcritical,2025,0.0000,39.0000,11.6656,0.0000,48.9803,0.0000
Cambodia,Coal Subcritical,2030,0.0000,38.3500,6.2691,0.0000,185.0983,0.0000
Cambodia,Coal Subcritical,2035,0.0000,38.3500,6.2691,0.0000,126.1000,0.0000
Cambodia,Coal Subcritical,2040,0.0000,38.3500,5.5448,0.0000,89.0712,0.0000
Cambodia,Coal Subcritical,2045,0.0000,38.3500,4.9926,0.0000,62.6077,0.0000
Cambodia,Coal Subcritical,2050,0.0000,38.3500,6.8973,0.0000,45.5148,0.0000
Cambodia,Coal Subcritical,2055,0.0000,38.3500,11.2907,0.0000,34.8839,0.0000
Cambodia,Coal Subcritical,2060,0.0000,38.3500,11.0333,0.0000,25.7718,0.0000
Cambodia,Fuel Oil,2025,0.0000,3.6400,0.0000,0.0000,3.5189,0.0000
