region,tech_name,output_fuel,year,capacity_GW,residual_GW,new_capacity_GW,production_PJ
Cambodia,Large Hydro,Electricity output from Centralized Electricity Generation,2035,3.1142,2.8768,0.0000,16.6666
Cambodia,Large Hydro,Electricity output from Centralized Electricity Generation,2040,3.2142,2.9767,0.0000,19.8648
Cambodia,Large Hydro,Electricity output from Centralized Electricity Generation,2045,3.2142,2.9767,0.0000,32.4279
Cambodia,Large Hydro,Electricity output from Centralized Electricity Generation,2050,3.2142,2.9767,0.0000,33.9107
Cambodia,Large Hydro,Electricity output from Centralized Electricity Generation,2055,3.2142,2.9767,0.0000,33.5481
Cambodia,Large Hydro,Electricity output from Centralized Electricity Generation,2060,3.2142,2.9767,0.0000,34.6851
Cambodia,Lithium Ion Batteries,Electricity output from Centralized Electricity Generation,2025,0.7500,0.7500,0.0000,2.2476
Cambodia,Lithium Ion Batteries,Electricity output from Centralized Electricity Generation,2030,1.0000,1.0000,0.0000,2.6280
Cambodia,Lithium Ion Batteries,Electricity output from Centralized Electricity Generation,2035,1.0000,1.0000,0.0000,2.6444
Cambodia,Lithium Ion Batteries,Electricity output from Centralized Electricity Generation,2040,1.0000,1.0000,0.0000,2.6280
Cambodia,Lithium Ion Batteries,Electricity output from Centralized Electricity Generation,2045,1.0000,1.0000,0.0000,2.6280
Cambodia,Lithium Ion Batteries,Electricity output from Centralized Electricity Generation,2050,1.0000,1.0000,0.0000,2.6527
Cambodia,Lithium Ion Batteries,Electricity output from Centralized Electricity Generation,2055,1.0000,1.0000,0.0000,2.6280
Cambodia,Lithium Ion Batteries,Electricity output from Centralized Electricity Generation,2060,1.0000,1.0000,0.0000,2.6280
Cambodia,Pumped Hydro,Electricity output from Centralized Electricity Generation,2030,1.0000,1.0000,0.0000,3.1090
Cambodia,Pumped Hydro,Electricity output from Centralized Electricity Generation,2035,2.8000,2.8000,0.0000,13.6617
Cambodia,Pumped Hydro,Electricity output from Centralized Electricity Generation,2040,3.1250,3.1250,0.0000,14.7811
Cambodia,Pumped Hydro,Electricity output from Centralized Electricity Generation,2045,3.1250,3.1250,0.0000,12.8098
Cambodia,Pumped Hydro,Electricity output from Centralized Electricity Generation,2050,3.1250,3.1250,0.0000,9.5762
Cambodia,Pumped Hydro,Electricity output from Centralized Electricity Generation,2055,3.1250,3.1250,0.0000,4.2635
Cambodia,Pumped Hydro,Electricity output from Centralized Electricity Generation,2060,3.1250,3.1250,0.0000,5.1389
Cambodia,Small Hydro,Electricity output from Centralized Electricity Generation,2025,0.2000,0.0000,0.2000,4.7935
Cambodia,Small Hydro,Electricity output from Centralized Electricity Generation,2030,0.2000,0.0000,0.0000,4.4613
Cambodia,Small Hydro,Electricity output from Centralized Electricity Generation,2035,0.2000,0.0000,0.0000,3.5951
Cambodia,Small Hydro,Electricity output from Centralized Electricity Generation,2040,0.2000,0.0000,0.0000,3.6788
Cambodia,Small Hydro,Electricity output from Centralized Electricity Generation,2045,0.2000,0.0000,0.0000,3.6933
Cambodia,Small Hydro,Electricity output from Centralized Electricity Generation,2050,0.2000,0.0000,0.0000,3.7296
Cambodia,Solar Floating,Electricity output from Centralized Electricity Generation,2025,0.0448,0.0000,0.0448,0.2783
Cambodia,Solar Floating,Electricity output from Centralized Electricity Generation,2030,0.0448,0.0000,0.0000,0.2300
Cambodia,Solar Floating,Electricity output from Centralized Electricity Generation,2035,0.0448,0.0000,0.0000,0.0682
Cambodia,Solar Floating,Electricity output from Centralized Electricity Generation,2040,0.0448,0.0000,0.0000,0.0790
Cambodia,Solar PV,Electricity output from Centralized Electricity Generation,2025,1.9400,1.7160,0.2240,12.0521
Cambodia,Solar PV,Electricity output from Centralized Electricity Generation,2030,4.9900,4.7660,0.0000,30.7099
Cambodia,Solar PV,Electricity output from Centralized Electricity Generation,2035,9.7900,9.5660,0.0000,47.9912
Cambodia,Solar PV,Electricity output from Centralized Electricity Generation,2040,9.7900,9.5660,0.0000,52.3969
Cambodia,Solar PV,Electricity output from Centralized Electricity Generation,2045,9.5660,9.5660,0.0000,52.0160
Cambodia,Solar PV,Electricity output from Centralized Electricity Generation,2050,9.5660,9.5660,0.0000,52.4635
Cambodia,Solar PV,Electricity output from Centralized Electricity Generation,2055,9.5660,9.5660,0.0000,50.0180
Cambodia,Solar PV,Electricity output from Centralized Electricity Generation,2060,9.5660,9.5660,0.0000,54.5176
Cambodia,Solar PV Rooftop,Electricity output from Energy Sector Own Use,2025,0.1293,0.0173,0.1120,0.8033
Cambodia,Solar PV Rooftop,Electricity output from Energy Sector Own Use,2030,0.2158,0.1038,0.0000,1.3409
Cambodia,Solar PV Rooftop,Electricity output from Energy Sector Own Use,2035,0.3024,0.1904,0.0000,1.8785
Cambodia,Solar PV Rooftop,Electricity output from Energy Sector Own Use,2040,0.3889,0.2769,0.0000,2.4162
Cambodia,Solar PV Rooftop,Electricity output from Energy Sector Own Use,2045,0.3635,0.3635,0.0000,2.2580
