branch_path,variable,units,scale,per
Demand\Commercial\Other Commercial\Historical\Charcoal\Organic Carbon,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\Historical\Charcoal\Particulates PM10,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\Historical\Charcoal\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\Historical\Charcoal\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Kilogramme
Demand\Commercial\Other Commercial\Historical\Coal Unspecified,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\Historical\Coal Unspecified,Final Energy Intensity,Tonnes of Oil Equivalent,Thousand,Square Meter
Demand\Commercial\Other Commercial\Historical\Coal Unspecified,Fuel Share,Share,%,
Demand\Commercial\Other Commercial\Historical\Coal Unspecified,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\Historical\Coal Unspecified,UnscaledFuelShare,%,,
Demand\Commercial\Other Commercial\Historical\Coal Unspecified\Ammonia,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Coal Unspecified\Black Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Coal Unspecified\Carbon Dioxide,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Commercial\Other Commercial\Historical\Coal Unspecified\Carbon Dioxide Biogenic,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Coal Unspecified\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Coal Unspecified\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Coal Unspecified\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Coal Unspecified\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Coal Unspecified\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Coal Unspecified\Organic Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Coal Unspecified\Particulates PM10,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Coal Unspecified\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Coal Unspecified\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Kilogramme
Demand\Commercial\Other Commercial\Historical\Diesel,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\Historical\Diesel,Final Energy Intensity,Tonnes of Oil Equivalent,Thousand,Square Meter
Demand\Commercial\Other Commercial\Historical\Diesel,Fuel Share,Share,%,
Demand\Commercial\Other Commercial\Historical\Diesel,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\Historical\Diesel,UnscaledFuelShare,%,,
Demand\Commercial\Other Commercial\Historical\Diesel\Ammonia,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\Historical\Diesel\Black Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Diesel\Carbon Dioxide,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Commercial\Other Commercial\Historical\Diesel\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Diesel\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Diesel\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Diesel\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Diesel\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Diesel\Organic Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Diesel\Particulates PM10,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Diesel\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Diesel\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Kilogramme
Demand\Commercial\Other Commercial\Historical\Electricity,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\Historical\Electricity,Final Energy Intensity,Tonnes of Oil Equivalent,Thousand,Square Meter
Demand\Commercial\Other Commercial\Historical\Electricity,Fuel Share,Share,%,
Demand\Commercial\Other Commercial\Historical\Electricity,Load Shape,Percent,%,
Demand\Commercial\Other Commercial\Historical\Electricity,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\Historical\Electricity,UnscaledFuelShare,%,,
Demand\Commercial\Other Commercial\Historical\Ethanol,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\Historical\Ethanol,Final Energy Intensity,Tonnes of Oil Equivalent,Thousand,Square Meter
Demand\Commercial\Other Commercial\Historical\Ethanol,Fuel Share,Share,%,
Demand\Commercial\Other Commercial\Historical\Ethanol,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\Historical\Ethanol,UnscaledFuelShare,%,,
Demand\Commercial\Other Commercial\Historical\Ethanol\Ammonia,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\Historical\Ethanol\Black Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Ethanol\Carbon Dioxide Biogenic,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Commercial\Other Commercial\Historical\Ethanol\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Ethanol\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Ethanol\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Ethanol\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Ethanol\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Ethanol\Organic Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Ethanol\Particulates PM10,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Ethanol\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Ethanol\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Kilogramme
Demand\Commercial\Other Commercial\Historical\Gasoline,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\Historical\Gasoline,Final Energy Intensity,Tonnes of Oil Equivalent,Thousand,Square Meter
Demand\Commercial\Other Commercial\Historical\Gasoline,Fuel Share,Share,%,
Demand\Commercial\Other Commercial\Historical\Gasoline,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\Historical\Gasoline,UnscaledFuelShare,%,,
Demand\Commercial\Other Commercial\Historical\Gasoline\Ammonia,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\Historical\Gasoline\Black Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Gasoline\Carbon Dioxide,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Commercial\Other Commercial\Historical\Gasoline\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Gasoline\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Gasoline\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Gasoline\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Gasoline\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Gasoline\Organic Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Gasoline\Particulates PM10,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Gasoline\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Gasoline\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Kilogramme
Demand\Commercial\Other Commercial\Historical\Kerosene,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\Historical\Kerosene,Final Energy Intensity,Tonnes of Oil Equivalent,Thousand,Square Meter
Demand\Commercial\Other Commercial\Historical\Kerosene,Fuel Share,Share,%,
Demand\Commercial\Other Commercial\Historical\Kerosene,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\Historical\Kerosene,UnscaledFuelShare,%,,
Demand\Commercial\Other Commercial\Historical\Kerosene\Ammonia,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\Historical\Kerosene\Black Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Kerosene\Carbon Dioxide,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Commercial\Other Commercial\Historical\Kerosene\Carbon Dioxide Biogenic,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Kerosene\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Kerosene\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Kerosene\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Kerosene\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Kerosene\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Kerosene\Organic Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Kerosene\Particulates PM10,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Kerosene\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Kerosene\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Kilogramme
Demand\Commercial\Other Commercial\Historical\LPG,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\Historical\LPG,Final Energy Intensity,Tonnes of Oil Equivalent,Thousand,Square Meter
Demand\Commercial\Other Commercial\Historical\LPG,Fuel Share,Share,%,
Demand\Commercial\Other Commercial\Historical\LPG,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\Historical\LPG,UnscaledFuelShare,%,,
Demand\Commercial\Other Commercial\Historical\LPG\Ammonia,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\Historical\LPG\Black Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\LPG\Carbon Dioxide,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Commercial\Other Commercial\Historical\LPG\Carbon Dioxide Biogenic,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\LPG\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\LPG\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\LPG\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\LPG\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\LPG\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\LPG\Organic Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\LPG\Particulates PM10,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\LPG\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\LPG\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Kilogramme
Demand\Commercial\Other Commercial\Historical\Natural Gas,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\Historical\Natural Gas,Final Energy Intensity,Tonnes of Oil Equivalent,Thousand,Square Meter
Demand\Commercial\Other Commercial\Historical\Natural Gas,Fuel Share,Share,%,
Demand\Commercial\Other Commercial\Historical\Natural Gas,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\Historical\Natural Gas,UnscaledFuelShare,%,,
Demand\Commercial\Other Commercial\Historical\Natural Gas\Ammonia,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\Historical\Natural Gas\Black Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Natural Gas\Carbon Dioxide,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Commercial\Other Commercial\Historical\Natural Gas\Carbon Dioxide Biogenic,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Natural Gas\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Natural Gas\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Natural Gas\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Natural Gas\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Natural Gas\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Natural Gas\Organic Carbon,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\Historical\Natural Gas\Particulates PM10,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Natural Gas\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Natural Gas\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Kilogramme
Demand\Commercial\Other Commercial\Historical\Residual Fuel Oil,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\Historical\Residual Fuel Oil,Final Energy Intensity,Tonnes of Oil Equivalent,Thousand,Square Meter
Demand\Commercial\Other Commercial\Historical\Residual Fuel Oil,Fuel Share,Share,%,
Demand\Commercial\Other Commercial\Historical\Residual Fuel Oil,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\Historical\Residual Fuel Oil,UnscaledFuelShare,%,,
Demand\Commercial\Other Commercial\Historical\Residual Fuel Oil\Ammonia,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\Historical\Residual Fuel Oil\Black Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Residual Fuel Oil\Carbon Dioxide,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Commercial\Other Commercial\Historical\Residual Fuel Oil\Carbon Dioxide Biogenic,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Residual Fuel Oil\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Residual Fuel Oil\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Residual Fuel Oil\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Residual Fuel Oil\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Residual Fuel Oil\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Residual Fuel Oil\Organic Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Residual Fuel Oil\Particulates PM10,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Residual Fuel Oil\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Residual Fuel Oil\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Kilogramme
Demand\Commercial\Other Commercial\Historical\Solar Heating,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\Historical\Solar Heating,Final Energy Intensity,Tonnes of Oil Equivalent,Thousand,Square Meter
Demand\Commercial\Other Commercial\Historical\Solar Heating,Fuel Share,Share,%,
Demand\Commercial\Other Commercial\Historical\Solar Heating,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\Historical\Solar Heating,UnscaledFuelShare,%,,
Demand\Commercial\Other Commercial\Historical\Wood,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\Historical\Wood,Final Energy Intensity,Tonnes of Oil Equivalent,Thousand,Square Meter
Demand\Commercial\Other Commercial\Historical\Wood,Fuel Share,Share,%,
Demand\Commercial\Other Commercial\Historical\Wood,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\Historical\Wood,UnscaledFuelShare,%,,
Demand\Commercial\Other Commercial\Historical\Wood\Ammonia,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Wood\Black Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Wood\Carbon Dioxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Wood\Carbon Dioxide Biogenic,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Commercial\Other Commercial\Historical\Wood\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Wood\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Wood\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Wood\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Wood\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Wood\Organic Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Wood\Particulates PM10,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Wood\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Wood\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Terajoule
