branch_path,variable,units,scale,per
Demand\Commercial\Other Commercial\End Use Projection\Other\LPG\Particulates PM10,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\LPG\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\LPG\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Kilogramme
Demand\Commercial\Other Commercial\End Use Projection\Other\Natural Gas,Activity Level,Share,%,of Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Other\Natural Gas,Commercial Fuel Share_,%,,
Demand\Commercial\Other Commercial\End Use Projection\Other\Natural Gas,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Other\Natural Gas,Final Energy Intensity,Kilowatt-Hour,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Other\Natural Gas,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\End Use Projection\Other\Natural Gas\Ammonia,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\End Use Projection\Other\Natural Gas\Black Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Natural Gas\Carbon Dioxide,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Natural Gas\Carbon Dioxide Biogenic,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Natural Gas\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Natural Gas\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Natural Gas\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Natural Gas\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Natural Gas\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Natural Gas\Organic Carbon,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\End Use Projection\Other\Natural Gas\Particulates PM10,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Natural Gas\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Terajoule
