branch_path,variable,units,scale,per
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Historical Production,Tonnes of Oil Equivalent,Thousand,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Interest Rate,Percent,,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Lifetime,Years,,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Availability,Percent,,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity,Gigajoules/Year,Million,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Capacity Addition,Gigajoules/Year,Million,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum Production,Gigajoule,,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Maximum_Share_of_Production,%,,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Merit Order,Merit Order,,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Minimum Capacity,Gigajoules/Year,Million,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Minimum Capacity Addition,Gigajoules/Year,Million,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Minimum Production,Gigajoule,,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Minimum Share of Production,Percent,,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Minimum Utilization,Percent,,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Optimized New Capacity,Gigajoules/Year,Million,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Process Efficiency,Percent,,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Process Share,Share,%,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Renewable Qualified,Percent,,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Salvage Value,2020 USD,,Gigajoules/Year
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Stranded Cost,2020 USD,,
Transformation\Biodiesel Production\Processes\FAME Biodiesel,Variable OM Cost,2020 USD,,Gigajoule
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Auxiliary Fuels\Biodiesel,Auxiliary Fuel Use,British Thermal Unit,,British Thermal Unit
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Auxiliary Fuels\Biodiesel,Fuel Cost,2020 USD,,Liter
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Auxiliary Fuels\Biodiesel,Fuel Source,2020 USD,,Liter
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Auxiliary Fuels\Biodiesel\Carbon Dioxide Biogenic,Avg Environmental Loading,Metric Tonne,,Terajoule
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Auxiliary Fuels\Biodiesel\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Auxiliary Fuels\Biodiesel\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Auxiliary Fuels\Biodiesel\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Auxiliary Fuels\Biodiesel\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Auxiliary Fuels\Biodiesel\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Auxiliary Fuels\Biodiesel\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Kilogramme
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Auxiliary Fuels\Electricity,Auxiliary Fuel Use,British Thermal Unit,,British Thermal Unit
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Auxiliary Fuels\Electricity,Fuel Cost,2020 USD,,Gigajoule
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Auxiliary Fuels\Electricity,Fuel Source,2020 USD,,Gigajoule
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Auxiliary Fuels\Natural Gas,Auxiliary Fuel Use,British Thermal Unit,,British Thermal Unit
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Auxiliary Fuels\Natural Gas,Fuel Cost,U.S. Dollar,,Million BTU
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Auxiliary Fuels\Natural Gas,Fuel Source,U.S. Dollar,,Million BTU
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Auxiliary Fuels\Natural Gas\Carbon Dioxide,Avg Environmental Loading,Metric Tonne,,Terajoule
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Auxiliary Fuels\Natural Gas\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Auxiliary Fuels\Natural Gas\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Auxiliary Fuels\Natural Gas\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Auxiliary Fuels\Natural Gas\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Auxiliary Fuels\Natural Gas\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
