Branch Path,Variable,Scenario,Region,Scale,Units,Per...,Expression
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDJW,Capacity Additions,AMS Target Scenario,Indonesia,,MW,,"Add(2025, 1.43, 2027, 1.24, 2028, 5.04, 2029, 13.69, 2030, 16.82, 2031, 1.9, 2032, 2, 2033, 0.76)"
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDJW,Capacity Additions,AMS Target Scenario,Laos,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDJW,Capacity Additions,AMS Target Scenario,Malaysia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDJW,Capacity Additions,AMS Target Scenario,Myanmar,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDJW,Capacity Additions,AMS Target Scenario,Philippines,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDJW,Capacity Additions,AMS Target Scenario,Singapore,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDJW,Capacity Additions,AMS Target Scenario,Thailand,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDJW,Capacity Additions,AMS Target Scenario,Timor Leste,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDJW,Capacity Additions,AMS Target Scenario,Vietnam,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDKA,Capacity Additions,AMS Target Scenario,Base Template,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDKA,Capacity Additions,AMS Target Scenario,Brunei,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDKA,Capacity Additions,AMS Target Scenario,Cambodia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDKA,Capacity Additions,AMS Target Scenario,Indonesia,,MW,,"Add(2025, 0.4, 2027, 0.35, 2028, 1.42, 2029, 3.85, 2030, 4.73, 2031, 0.53, 2032, 0.56, 2033, 0.21)"
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDKA,Capacity Additions,AMS Target Scenario,Laos,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDKA,Capacity Additions,AMS Target Scenario,Malaysia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDKA,Capacity Additions,AMS Target Scenario,Myanmar,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDKA,Capacity Additions,AMS Target Scenario,Philippines,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDKA,Capacity Additions,AMS Target Scenario,Singapore,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDKA,Capacity Additions,AMS Target Scenario,Thailand,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDKA,Capacity Additions,AMS Target Scenario,Timor Leste,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDKA,Capacity Additions,AMS Target Scenario,Vietnam,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDSA,Capacity Additions,AMS Target Scenario,Base Template,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDSA,Capacity Additions,AMS Target Scenario,Brunei,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDSA,Capacity Additions,AMS Target Scenario,Cambodia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDSA,Capacity Additions,AMS Target Scenario,Indonesia,,MW,,"Add(2025, 13.02, 2027, 11.29, 2028, 46.01, 2029, 125.01, 2030, 153.67, 2031, 17.36, 2032, 18.23, 2033, 6.95)"
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDSA,Capacity Additions,AMS Target Scenario,Laos,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDSA,Capacity Additions,AMS Target Scenario,Malaysia,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDSA,Capacity Additions,AMS Target Scenario,Myanmar,,MW,,0
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDSA,Capacity Additions,AMS Target Scenario,Philippines,,MW,,0
