Branch Path,Variable,Region,Unit,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Transformation\Centralized Electricity Generation\Processes\Biogas_IDSA,Existing Capacity,Indonesia,MW,0,0,0,0,0,0,0,0,0,0,0,0,9.651713728,81.89629906,84.92,89.72,91.77,106.81,111.471008,112.4146476
Transformation\Centralized Electricity Generation\Processes\Biogas_IDJW,Existing Capacity,Indonesia,MW,0,0,0,0,0,0,0,0,0,0,0,0,0.227313088,1.928787072,2,2,2.05,2.05,2.139458537,2.157569774
Transformation\Centralized Electricity Generation\Processes\Biogas_IDKA,Existing Capacity,Indonesia,MW,0,0,0,0,0,0,0,0,0,0,0,0,2.920973184,24.78491387,25.7,26.1,40.97,40.55,42.3195335,42.67778261
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDSA,Existing Capacity,Indonesia,MW,0,0,0,0,0,0.032881473,0.207672458,0.709547566,1.557543437,1.557543437,6.385928092,8.081919835,9.431790814,9.104706692,25.23739549,11.12120083,14.0992994,12.73035562,27.54183706,42.0124646
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDJW,Existing Capacity,Indonesia,MW,0,0,0,0,0,0.015656288,0.098881817,0.337846207,0.741613625,0.741613625,3.040615861,3.848150697,4.490882505,4.335143644,12.01661276,27.60985507,74.13535282,116.3423738,251.7041,383.9507716
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDKA,Existing Capacity,Indonesia,MW,0,0,0,0,0,0.016669534,0.105281266,0.359710993,0.789609496,0.789609496,3.237398933,4.09719594,4.78152417,4.615706176,12.79430587,9.799668737,10.38949093,13.38418053,28.9563725,44.17020447
Transformation\Centralized Electricity Generation\Processes\Solar PV_IDEast,Existing Capacity,Indonesia,MW,0,0,0,0,0,0.124792706,0.788164459,2.692895235,5.911233442,5.911233442,24.23605711,30.67273353,35.79580251,34.55444349,95.78168588,98.76927536,102.4758569,129.81309,280.8476904,428.4065593
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDSA,Existing Capacity,Indonesia,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDJW,Existing Capacity,Indonesia,MW,0,0,0.000961605,0.002500174,0.010193018,0.003269459,0.008942931,0.008942931,0.006058114,0.010769981,0.010769981,0.010769981,0.010769981,1.38,1.48385339,1.375528482,1.38,1.38,1.362024496,1.362024496
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDKA,Existing Capacity,Indonesia,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transformation\Centralized Electricity Generation\Processes\Wind Onshore_IDEast,Existing Capacity,Indonesia,MW,0,0,0.099038395,0.257499826,1.049806982,0.336730541,0.921057069,0.921057069,0.623941886,1.109230019,1.109230019,1.109230019,1.109230019,142.13,152.8261466,152.4344715,152.93,152.93,150.9379755,150.9379755
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDSA,Historical Production,Indonesia,Gigawatt-Hour,6695.56419,7491.916536,8170.229641,7995.425955,8339.092861,8403.777925,9770.414918,11171.59462,12198.63502,13098.8355,14236.87459,14157.55838,14800.33871,12104.79767,13148.23236,13003.46712,12944.8627,13482.61598,13166.14434,13415.63534
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDJW,Historical Production,Indonesia,Gigawatt-Hour,44451.57255,49738.52269,54241.81522,53081.30081,55362.89112,55792.33258,64865.37881,74167.75262,80986.23121,86962.62478,94518.01907,93991.44205,98258.83391,80363.24897,87290.56851,82725.21826,83671.55073,85556.54631,83548.31434,85131.50773
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDKA,Historical Production,Indonesia,Gigawatt-Hour,2809.593084,3143.758507,3428.392296,3355.041162,3499.250692,3526.393843,4099.862147,4687.825263,5118.792026,5496.534208,5974.078248,5940.795575,6210.519096,5079.415992,5517.262123,4973.359359,5247.772198,5440.353815,5312.654732,5413.32654
Transformation\Centralized Electricity Generation\Processes\Coal Subcritical_IDEast,Historical Production,Indonesia,Gigawatt-Hour,6907.27018,7728.802265,8428.562845,8248.232069,8602.765325,8669.495656,10079.34413,11524.82751,12584.34174,13513.00551,14687.02809,14605.20399,15268.30828,12487.53737,13563.96425,12632.92958,11897.78162,10248.4439,10007.88659,10197.53039
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDSA,Historical Production,Indonesia,Gigawatt-Hour,4135.531404,4122.820981,4169.996202,4805.761743,4783.64072,5294.868566,5449.471297,4777.163293,5063.514439,5350.721094,5456.437586,5891.769546,5398.629609,5372.964333,5274.095581,2995.883725,2816.04704,7350.762224,8332.799908,9113.462549
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDJW,Historical Production,Indonesia,Gigawatt-Hour,28744.75644,28656.41036,28984.31023,33403.31321,33249.55706,36802.93835,37877.5325,33204.53453,35194.86979,37191.15141,37925.95295,40951.8062,37524.14818,37345.75705,36658.55197,30087.90471,33310.38127,29013.16765,32889.23153,35970.47608
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDKA,Historical Production,Indonesia,Gigawatt-Hour,173.6597651,173.1260274,175.1070153,201.8041635,200.8752546,222.3427999,228.8348976,200.6032537,212.6277477,224.6881664,229.1274269,247.4079424,226.6999469,225.6222074,221.470498,308.9175257,331.8199058,289.0134003,327.624641,358.3183239
Transformation\Centralized Electricity Generation\Processes\Gas Combined Cycle_IDEast,Historical Production,Indonesia,Gigawatt-Hour,784.0523956,781.6426359,790.5865517,911.1208789,906.9269701,1003.850286,1033.161306,905.6989195,959.9880253,1014.439327,1034.48204,1117.01631,1023.522267,1018.656406,999.9119511,750.3340381,1516.721783,1821.05673,2064.343926,2257.743048
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_IDSA,Historical Production,Indonesia,Gigawatt-Hour,1459.364226,1324.170472,1516.263954,1583.405633,2354.05555,2477.186562,2654.713714,2276.216722,2386.829794,2438.039549,1820.108502,1482.124117,1620.276657,2266.20237,2081.155351,1516.568622,1761.718281,1602.452572,1298.606478,1622.953031
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_IDJW,Historical Production,Indonesia,Gigawatt-Hour,4131.998296,3749.214923,4293.10241,4483.205263,6665.199373,7013.828674,7516.473507,6444.808946,6757.995342,6902.989044,5153.398374,4196.439942,4587.600729,6416.454622,5892.518269,4137.48576,4434.455427,4033.564606,3268.74768,4085.166711
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_IDKA,Historical Production,Indonesia,Gigawatt-Hour,437.7422657,397.1903465,454.8095717,474.9489929,706.1085861,743.0422364,796.2922313,682.7605114,715.9393544,731.2999298,545.9489861,444.5691881,486.0086072,679.7566655,624.2510555,444.89361,546.2725966,496.8875766,402.6711537,503.2443473
Transformation\Centralized Electricity Generation\Processes\Gas Turbine_IDEast,Historical Production,Indonesia,Gigawatt-Hour,382.8952121,347.4242583,397.8240647,415.4401108,617.6364907,649.9425278,696.520548,597.2138204,626.2355099,639.6714772,477.5441377,388.8667531,425.1140073,594.5863423,546.0353249,396.0620079,469.5436958,433.0952462,350.9746886,438.6359103
Transformation\Centralized Electricity Generation\Processes\Gas Engine_IDSA,Historical Production,Indonesia,Gigawatt-Hour,0,0,53.01833309,0,0,32.42443512,21.03206602,24.09924232,167.3801921,22.34657015,540.2611959,1073.949871,35.92977945,86.93253955,2811.905887,3588.57741,3679.447495,2125.899659,2025.367087,2114.487173
Transformation\Centralized Electricity Generation\Processes\Gas Engine_IDJW,Historical Production,Indonesia,Gigawatt-Hour,0,0,11.42985611,0,0,6.990159935,4.534157796,5.195389141,36.08433913,4.817542658,116.4711784,231.5254324,7.745852901,18.74118556,606.1993618,871.8338961,807.5170505,466.5646744,444.5010992,464.0600111
Transformation\Centralized Electricity Generation\Processes\Gas Engine_IDKA,Historical Production,Indonesia,Gigawatt-Hour,0,0,17.51399166,0,0,10.71103622,6.947699171,7.9609053,55.2921059,7.381930369,178.4690224,354.7668889,11.86898608,28.71715657,928.8805094,1177.238847,1107.359125,1989.80649,1895.709685,1979.124594
Transformation\Centralized Electricity Generation\Processes\Gas Engine_IDEast,Historical Production,Indonesia,Gigawatt-Hour,0,0,39.03781914,0,0,23.87436873,15.48607701,17.74446324,123.2433629,16.45395683,397.7986033,790.7578074,26.45538156,64.00911832,2070.428605,3621.220597,4758.634893,6223.739177,5929.422129,6190.328222
Transformation\Centralized Electricity Generation\Processes\Diesel_IDSA,Historical Production,Indonesia,Gigawatt-Hour,1921.218177,1933.019012,1888.344421,2242.158759,2281.143662,2590.704866,3471.763679,4044.314934,4068.548792,4695.046724,4107.533696,4153.051204,3911.766263,3672.799342,2203.38037,1435.847604,1375.405582,1171.270064,1248.710538,1355.627284
Transformation\Centralized Electricity Generation\Processes\Diesel_IDJW,Historical Production,Indonesia,Gigawatt-Hour,878.481578,883.8775381,863.4499748,1025.232422,1043.058362,1184.605958,1587.472195,1849.272617,1860.353606,2146.821274,1878.179546,1898.992535,1788.664422,1679.396229,1007.500911,443.7526174,433.4578164,369.124694,393.5299887,427.2247038
Transformation\Centralized Electricity Generation\Processes\Diesel_IDKA,Historical Production,Indonesia,Gigawatt-Hour,1899.012663,1910.677104,1866.518863,2216.243801,2254.778115,2560.761399,3431.6369,3997.570585,4021.524348,4640.781192,4060.058662,4105.050078,3866.553917,3630.348986,2177.913614,1730.569335,1495.006067,1273.119635,1357.294063,1473.507917
Transformation\Centralized Electricity Generation\Processes\Diesel_IDEast,Historical Production,Indonesia,Gigawatt-Hour,4418.287582,4445.426345,4342.686742,5156.365019,5246.019862,5957.927776,7984.127226,9300.841864,9356.573253,10797.35081,9446.228096,9550.906183,8996.015399,8446.455443,5067.185104,3119.860443,3119.120535,3266.495607,3482.465411,3780.640095
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDSA,Historical Production,Indonesia,Gigawatt-Hour,3152.596998,2828.665819,3317.502072,3388.637594,3346.309018,5131.163934,3650.545652,3762.246058,4974.489417,4456.552269,4039.145487,5490.074977,5476.847297,6353.107591,6209.651935,7008.237707,7191.745174,7923.355576,7173.348316,7916.646059
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDJW,Historical Production,Indonesia,Gigawatt-Hour,5696.728033,5111.385908,5994.71073,6123.252286,6046.764748,9271.989235,6596.518922,6798.361034,8988.879114,8052.96911,7298.717007,9920.539811,9896.637455,11480.03571,11220.81201,13281.29936,13356.90959,14715.69716,13322.74192,14703.23587
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDKA,Historical Production,Indonesia,Gigawatt-Hour,573.8455419,514.8825781,603.8620779,616.8103876,609.1056083,933.990469,664.4837096,684.8157661,905.4720845,811.1955488,735.217864,999.3205768,996.9128333,1156.412466,1130.30022,1180.169718,1197.605891,1319.437367,1194.542353,1318.320064
Transformation\Centralized Electricity Generation\Processes\Large Hydro_IDEast,Historical Production,Indonesia,Gigawatt-Hour,1301.829427,1168.065695,1369.925121,1399.299733,1381.820625,2118.856362,1507.451716,1553.577141,2054.159385,1840.283072,1667.919642,2267.064636,2261.602414,2623.444235,2564.205837,2819.293215,2831.73935,3202.509897,2899.367415,3199.798004
Transformation\Centralized Electricity Generation\Processes\Small Hydro_IDSA,Historical Production,Indonesia,Gigawatt-Hour,0,0,0,0,0,0,0,0,0,0,0,0,0,8.068582955,12.09951252,10.43490867,42.27676815,47.62177986,0,54.01873536
Transformation\Centralized Electricity Generation\Processes\Small Hydro_IDJW,Historical Production,Indonesia,Gigawatt-Hour,0,0,0,0,0,0,0,0,0,0,0,0,0,8.068582955,12.09951252,10.43490867,34.53581131,38.90214118,0,44.12780194
Transformation\Centralized Electricity Generation\Processes\Small Hydro_IDKA,Historical Production,Indonesia,Gigawatt-Hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201714574,0.302487813,0.521745433,0.666637671,0.75092004,0,0.851789896
Transformation\Centralized Electricity Generation\Processes\Small Hydro_IDEast,Historical Production,Indonesia,Gigawatt-Hour,0,0,0,0,0,0,0,0,0,0,0,0,0,7.661119516,11.48848714,14.59843723,41.48078287,46.72515892,0,53.0016728
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDSA,Historical Production,Indonesia,Gigawatt-Hour,2132.238776,2149.673799,2266.8759,2682.733493,3001.084104,3021.102093,3025.622285,3040.151471,3039.505729,3241.29998,3243.882947,3440.511265,4121.122915,4526.325772,4552.478307,4805.337048,4791.315469,5025.770037,5103.822111,5097.493564
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDJW,Historical Production,Indonesia,Gigawatt-Hour,4081.381566,4114.754462,4339.094485,5135.099854,5744.464212,5782.781241,5791.433473,5819.24422,5818.008187,6204.268556,6209.212689,6585.584792,7888.363766,8663.974588,8714.033931,9853.156448,10102.15699,10596.48822,10761.05561,10747.71231
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDKA,Historical Production,Indonesia,Gigawatt-Hour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transformation\Centralized Electricity Generation\Processes\Geothermal Flash_IDEast,Historical Production,Indonesia,Gigawatt-Hour,390.3796581,393.5717389,415.0296154,491.1666535,549.4516842,553.1166658,553.9442423,556.6043097,556.4860845,593.431464,593.9043648,629.9039426,754.5133187,828.6996407,833.4877619,904.4765041,1005.537541,1054.741746,1071.122277,1069.794125
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDSA,Historical Production,Indonesia,Gigawatt-Hour,0,0,0,0,0,0,0,0,0,0,0,0,0,13050.98222,13142.99956,11044.71124,13334.10788,17869.13815,21264.29188,20926.0003
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDJW,Historical Production,Indonesia,Gigawatt-Hour,0,0,0,0,0,0,0,0,0,0,0,0,0,1551.600284,1562.540007,1408.29303,1394.207372,1868.387773,2223.383278,2188.011687
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDKA,Historical Production,Indonesia,Gigawatt-Hour,0,0,0,0,0,0,0,0,0,0,0,0,0,438.4957326,441.5873933,404.0184922,399.9775247,536.0128858,637.8558586,627.7082709
Transformation\Centralized Electricity Generation\Processes\Biomass Other_IDEast,Historical Production,Indonesia,Gigawatt-Hour,0,0,0,0,0,0,0,0,0,0,0,0,0,134.9217639,135.8730441,126.9772404,125.7072221,168.4611927,200.4689841,197.2797423
Transformation\Centralized Electricity Generation\Processes\Biogas_IDSA,Historical Production,Indonesia,Gigawatt-Hour,0,0,0,0,0,0,0,0,0,0,0,0,0,352.0458265,455.1554828,614.6153846,675,749.6808511,726.7021277,799.2287234
