domain,scenario,sector,layer,fuel,carrier,region,year,value,unit,value_pj,confident_carrier,branch_leaf,branch_path
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Laos,2020,0.0,PJ,0.0,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Laos,2030,0.0,PJ,0.0,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Laos,2040,0.0,PJ,0.0,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Laos,2050,0.0,PJ,0.0,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Laos,2060,0.0,PJ,0.0,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Malaysia,2010,0.0,PJ,0.0,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Malaysia,2020,0.0,PJ,0.0,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Malaysia,2030,75.05155204439744,PJ,75.05155204439744,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Malaysia,2040,110.43869383515917,PJ,110.43869383515917,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Malaysia,2050,153.99183825478082,PJ,153.99183825478082,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Malaysia,2060,198.87399707595685,PJ,198.87399707595685,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Myanmar,2010,0.0,PJ,0.0,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Myanmar,2020,0.0,PJ,0.0,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Myanmar,2030,0.07586759399128316,PJ,0.07586759399128316,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Myanmar,2040,0.1010737690130405,PJ,0.1010737690130405,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Myanmar,2050,0.13614702063526904,PJ,0.13614702063526904,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Myanmar,2060,0.18449064682494712,PJ,0.18449064682494712,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Philippines,2010,0.0,PJ,0.0,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Philippines,2020,0.0,PJ,0.0,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Philippines,2030,9.384717881226386,PJ,9.384717881226386,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Philippines,2040,14.721090592900726,PJ,14.721090592900726,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Philippines,2050,21.437594690105488,PJ,21.437594690105488,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Philippines,2060,30.402672700363322,PJ,30.402672700363322,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Singapore,2010,0.0,PJ,0.0,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Singapore,2020,0.0,PJ,0.0,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Singapore,2030,8.008405616187941,PJ,8.008405616187941,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Singapore,2040,10.410955624803625,PJ,10.410955624803625,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Singapore,2050,13.059827926842322,PJ,13.059827926842322,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Singapore,2060,16.18420589236564,PJ,16.18420589236564,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Thailand,2010,0.0,PJ,0.0,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Thailand,2020,0.0,PJ,0.0,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Thailand,2030,42.40474685948529,PJ,42.40474685948529,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Thailand,2040,61.29429464546197,PJ,61.29429464546197,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
