ams,branch,branch_type,variable,year,value
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Curtailed Energy Production,2045,104.64239955022245
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Curtailed Energy Production,2050,418.5695982008898
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Curtailed Energy Production,2055,36258.55879245285
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Curtailed Energy Production,2060,91653.57916981139
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Energy Generation,2045,116.46471376791303
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Energy Generation,2050,465.8588550716521
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Energy Generation,2055,82799.34765283015
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Energy Generation,2060,209298.35101132072
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Power Generation,2045,94.38363921613518
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Power Generation,2050,72.60279939702706
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Power Generation,2055,19217.036160000007
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Power Generation,2060,61494.51571200003
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Curtailed Energy Production,2045,124.11463026658333
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Curtailed Energy Production,2050,496.45852106633333
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Curtailed Energy Production,2055,125261.59109433954
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Curtailed Energy Production,2060,316633.46637735836
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Capacity Additions,2025,700.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Capacity Additions,2030,770.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Capacity Additions,2035,770.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Capacity Additions,2040,770.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Capacity Additions,2045,770.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Capacity Additions,2050,770.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Capacity Additions,2055,770.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Capacity Additions,2060,770.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Existing Capacity,2025,254.0
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Existing Capacity,2030,254.0
