branch_path,variable,units,scale,per
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\LPG\Carbon Dioxide Biogenic,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\LPG\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\LPG\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\LPG\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\LPG\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\LPG\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\LPG\Organic Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\LPG\Particulates PM10,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\LPG\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\LPG\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Kilogramme
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\Metalurgical Coke,Demand Cost,2020 USD,,2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\Metalurgical Coke,Final Energy Intensity,Gigajoule,,2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\Metalurgical Coke,Fuel Share,Share,%,
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\Metalurgical Coke,RefHH,Ref/hh,,
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Others\Metalurgical Coke\Ammonia,Avg Environmental Loading,Kilogramme,,Terajoule
