ams,branch,branch_type,variable,year,value,unit,unit_source
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Curtailed Energy Production,2030,354693.0,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Curtailed Energy Production,2035,354693.0,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Curtailed Energy Production,2040,354693.0,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Curtailed Energy Production,2045,354800.62185421,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Curtailed Energy Production,2050,316288.48741684,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Pollutant Loadings,2025,-300423.0462774982,Metric Tonne CO2 Equivalent,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Pollutant Loadings,2030,-288057.77517429367,Metric Tonne CO2 Equivalent,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Pollutant Loadings,2035,16162.348235547543,Metric Tonne CO2 Equivalent,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Pollutant Loadings,2040,-14597.370082493871,Metric Tonne CO2 Equivalent,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Pollutant Loadings,2045,-51025.0718643032,Metric Tonne CO2 Equivalent,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical,Transformation Process,Pollutant Loadings,2050,-47686.47916023806,Metric Tonne CO2 Equivalent,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Energy Generation,2045,106.37997797203903,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Energy Generation,2050,425.5199118881561,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Power Generation,2025,270701.6976,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Power Generation,2030,270701.6976,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Power Generation,2035,270701.6976,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Power Generation,2040,270701.6976,Megawatt,inferred
